country,year,above15000,above25000,above35000,above50000,above75000,q1,q2,q3,q4,q5,q6
Belgium,1990,93.5,69,38.4,11.7,0.2,0.065,0.245,0.306,0.267,0.115,0.002
Belgium,1991,94.2,71.2,41.2,13.2,0.7,0.058,0.23,0.3,0.28,0.125,0.007
Belgium,1992,96.4,77.2,50,18.7,2.3,0.036,0.192,0.272,0.313,0.164,0.023
Belgium,1993,94.7,72.4,42.9,14.2,0.9,0.053,0.223,0.295,0.287,0.133,0.009
Belgium,1994,96,76.1,48.2,17.5,1.9,0.04,0.199,0.279,0.307,0.156,0.019
Belgium,1995,100,84.4,62.4,29.1,5.8,0,0.156,0.22,0.333,0.233,0.058
Belgium,1996,100,82.8,59.4,26.2,4.7,0,0.172,0.234,0.332,0.215,0.047
Belgium,1997,96.4,77.4,50.2,18.8,2.3,0.036,0.19,0.272,0.314,0.165,0.023
Belgium,1998,96.6,78,51.2,19.5,2.6,0.034,0.186,0.268,0.317,0.169,0.026
Belgium,1999,96,76.2,48.4,17.6,2,0.04,0.198,0.278,0.308,0.156,0.02
France,1990,90.7,68.7,43.1,18.7,6.1,0.093,0.22,0.256,0.244,0.126,0.061
France,1991,91,69.4,44,19.2,6.2,0.09,0.216,0.254,0.248,0.13,0.062
France,1992,92.8,73.9,50.1,23.4,7.7,0.072,0.189,0.238,0.267,0.157,0.077
France,1993,90.6,68.5,42.9,18.6,6,0.094,0.221,0.256,0.243,0.126,0.06
France,1994,91.1,69.8,44.5,19.6,6.4,0.089,0.213,0.253,0.249,0.132,0.064
France,1995,94,76.9,54.6,27,9,0.06,0.171,0.223,0.276,0.18,0.09
France,1996,93.5,75.9,53,25.6,8.5,0.065,0.176,0.229,0.274,0.171,0.085
France,1997,91.2,70.1,44.9,19.8,6.4,0.088,0.211,0.252,0.251,0.134,0.064
France,1998,91.5,70.8,45.8,20.4,6.6,0.085,0.207,0.25,0.254,0.138,0.066
France,1999,90.7,68.6,43,18.6,6,0.093,0.221,0.256,0.244,0.126,0.06
Germany,1990,94.7,76,54.2,28.1,9.1,0.053,0.187,0.218,0.261,0.19,0.091
Germany,1991,95,76.5,55,28.8,9.4,0.05,0.185,0.215,0.262,0.194,0.094
Germany,1992,92.2,70.4,46.8,22.1,6.5,0.078,0.218,0.236,0.247,0.156,0.065
Germany,1993,92.6,71.3,47.9,22.9,6.8,0.074,0.213,0.234,0.25,0.161,0.068
Germany,1994,91.6,69.1,45.1,20.9,6,0.084,0.225,0.24,0.242,0.149,0.06
Germany,1995,94.7,76,54.2,28.1,9.1,0.053,0.187,0.218,0.261,0.19,0.091
Germany,1996,95,76.5,55,28.8,9.4,0.05,0.185,0.215,0.262,0.194,0.094
Germany,1997,92.2,70.4,46.8,22.1,6.5,0.078,0.218,0.236,0.247,0.156,0.065
Germany,1998,92.6,71.3,47.9,22.9,6.8,0.074,0.213,0.234,0.25,0.161,0.068
Germany,1999,91.6,69.1,45.1,20.9,6,0.084,0.225,0.24,0.242,0.149,0.06
Italy,1990,94.7,76,54.2,28.1,9.1,0.053,0.187,0.218,0.261,0.19,0.091
Italy,1991,95,76.5,55,28.8,9.4,0.05,0.185,0.215,0.262,0.194,0.094
Italy,1992,92.2,70.4,46.8,22.1,6.5,0.078,0.218,0.236,0.247,0.156,0.065
Italy,1993,92.6,71.3,47.9,22.9,6.8,0.074,0.213,0.234,0.25,0.161,0.068
Italy,1994,91.6,69.1,45.1,20.9,6,0.084,0.225,0.24,0.242,0.149,0.06
Italy,1995,94.7,76,54.2,28.1,9.1,0.053,0.187,0.218,0.261,0.19,0.091
Italy,1996,95,76.5,55,28.8,9.4,0.05,0.185,0.215,0.262,0.194,0.094
Italy,1997,92.2,70.4,46.8,22.1,6.5,0.078,0.218,0.236,0.247,0.156,0.065
Italy,1998,92.6,71.3,47.9,22.9,6.8,0.074,0.213,0.234,0.25,0.161,0.068
Italy,1999,91.6,69.1,45.1,20.9,6,0.084,0.225,0.24,0.242,0.149,0.06